provider,site,status,best_price_url,has_prices,has_yield,dates_on_page,pdf_links,wb_snapshots,wb_distinct,wb_first,wb_last,wb_note,error,MANUAL_cadence,MANUAL_history_available,MANUAL_fee_disclosed,MANUAL_minimum_disclosed,MANUAL_format,MANUAL_verdict
10th Capital Investments Limited,https://10thcapital.investments,200,,False,False,,0,0,0,,,,,,,,,,
Africa Trust Capital Limited,https://africatrustcapital.com,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [Errno 11001] getaddrinfo failed> (domain does not resolve — the URL in PROVIDERS is ,,,,,,
Algebra Capital Management Limited,https://algebracapital.com.gh,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [Errno 11001] getaddrinfo failed> (domain does not resolve — the URL in PROVIDERS is ,,,,,,
Aligned Investment Management LTD,https://www.alignedim.com,200,,False,False,,0,0,0,,,,,,,,,,
Altasset Investment Managers LTD,https://salemestate.com,200,,False,False,,0,0,0,,,,,,,,,,
Ashfield Investment Managers LTD,https://ashfieldinvest.com,200,,False,False,,0,0,0,,,,,,,,,,
Avant Capital Limited,https://eccapitalpartners.com.gh,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [Errno 11001] getaddrinfo failed> (domain does not resolve — the URL in PROVIDERS is ,,,,,,
Black Star Advisors Limited,https://blackstaradvisors.com,200,https://blackstaradvisors.com/funds/fiap,True,True,01-01-2020; 01-01-2021; 01-01-2022; 01-02-2020,0,0,0,,,,,,,,,,
Blaze Financial Services Ltd,http://www.blazefinancialservices.com.gh/,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [Errno 11001] getaddrinfo failed> (domain does not resolve — the URL in PROVIDERS is ,,,,,,
Bora Capital Advisors LTD,https://boradvisors.com,200,https://boradvisors.com/unit-trust/,True,True,,0,0,0,,,,,,,,,,
Brassica Capital Limited Company,https://www.brassicagroup.com/brassica-capital/home,200,,False,False,,0,0,0,,,,,,,,,,
CAL Asset Management Company LTD,https://calassetmanagement.net,301,,False,False,,0,0,0,,,,__ERROR__ HTTP 301,,,,,,
Capstone Capital Limited,https://capstoneghana.com,200,,False,False,,0,0,0,,,,,,,,,,
Cardinalstone Capital Advisers (Ghana) LTD,https://cardinalstonepe.com/,200,,False,False,,0,0,0,,,,,,,,,,
Chapel Hill Denham Management Ghana Limited,https://chapelhilldenham.com,200,,False,False,,0,0,0,,,,,,,,,,
CIDAN Investments Limited,https://cidaninvestments.com,200,,False,False,,0,0,0,,,,,,,,,,
Cititrust Capital Ltd,https://cititrustcapitalgh.com,200,,False,False,,0,0,0,,,,,,,,,,
Continental Capital limited,https://continentalcapitalghana.com,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [Errno 11001] getaddrinfo failed> (domain does not resolve — the URL in PROVIDERS is ,,,,,,
Cornerstone Capital Advisors Limited,https://cscapital-group.com,200,,False,False,,0,0,0,,,,,,,,,,
Crystal Capital &amp; Investments Limited,https://crystalcapitalgh.com,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [Errno 11002] getaddrinfo failed> (domain does not resolve — the URL in PROVIDERS is ,,,,,,
Databank Asset Management Services LTD,https://databankgroup.com,200,,False,False,,1,0,0,,,,,,,,,,
Delta Capital Ltd,https://deltacapitalghana.com,500,,False,False,,0,0,0,,,,__ERROR__ HTTP 500,,,,,,
